[ 2014-10-05T22:37:11+08:00 ] /index.php/Tree/KaiBoLuo/RID/1/TPL/0/FID/1 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007600s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000276s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.002330s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000213s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `user_id`,`is_agent`,`agent_cash` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.003891s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `user_id`,`is_agent` FROM `xt_fck` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000201s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `user_id`,`is_agent` FROM `xt_fck` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000181s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '845779' ) LIMIT 1   [ RunTime:0.000156s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '152459' ) LIMIT 1   [ RunTime:0.000140s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '672799' ) LIMIT 1   [ RunTime:0.000163s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '338293' ) LIMIT 1   [ RunTime:0.000137s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '256802' ) LIMIT 1   [ RunTime:0.000134s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '360211' ) LIMIT 1   [ RunTime:0.000144s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '198959' ) LIMIT 1   [ RunTime:0.000143s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '945947' ) LIMIT 1   [ RunTime:0.000135s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '622317' ) LIMIT 1   [ RunTime:0.000143s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `ID` FROM `xt_fck` WHERE ( `UserID` = '207611' ) LIMIT 1   [ RunTime:0.000135s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SHOW COLUMNS FROM `xt_product` [ RunTime:0.005289s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT * FROM `xt_product`  [ RunTime:0.000208s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | SQL: SELECT `s2`,`s9`,`i4`,`str29`,`str99` FROM `xt_fee` LIMIT 1   [ RunTime:0.000246s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | NOTIC: [8] Undefined variable: Level FckAction.class.php 第 1457 行.
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_template ] --START--
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.001214s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001296s ]
[ 2014-10-05T22:37:11+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_parse ] --START--
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.049009s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049103s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_filter ] --START--
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000831s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run TokenBuild Behavior [ RunTime:0.004726s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000569s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000831s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007183s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_end ] --START--
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000882s ]
[ 2014-10-05T22:37:12+08:00 ] /index.php/Fck/users/RID/1/TPL/0/FID/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000972s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | INFO: Run CheckRoute Behavior [ RunTime:0.000978s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001078s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000673s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000747s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007695s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000272s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.004264s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000335s ]
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T22:37:16+08:00 ] /index.php/Fck/check_userid/ | SQL: SELECT `id` FROM `xt_fck` WHERE ( `user_id` = '111' ) LIMIT 1   [ RunTime:0.000273s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | INFO: Run CheckRoute Behavior [ RunTime:0.000999s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001098s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000684s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000759s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007624s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000294s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.002595s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000204s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `is_pay`,`agent_cash` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000199s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `user_id` = '100000' ) AND ( `is_agent` > 1 ) LIMIT 1   [ RunTime:0.000210s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `id`,`user_id`,`re_level`,`re_path` FROM `xt_fck` WHERE ( `user_id` = '100000' ) AND ( `is_pay` > 0 ) LIMIT 1   [ RunTime:0.000194s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `id`,`p_path`,`p_level`,`user_id`,`is_pay` FROM `xt_fck` WHERE ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.003900s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `id` FROM `xt_fck` WHERE ( `father_id` = '1' ) AND ( `treeplace` = '0' ) LIMIT 1   [ RunTime:0.000187s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT COUNT(*) AS tp_count FROM `xt_fck` WHERE father_id=1 and is_pay>0 LIMIT 1   [ RunTime:0.000208s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT COUNT(*) AS tp_count FROM `xt_fck` WHERE re_id=1 and is_pay>0 LIMIT 1   [ RunTime:0.000179s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT `id` FROM `xt_fck` WHERE ( `user_id` = '111' ) LIMIT 1   [ RunTime:0.000171s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT * FROM `xt_fee` LIMIT 1   [ RunTime:0.000293s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SHOW COLUMNS FROM `xt_product` [ RunTime:0.001537s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SHOW COLUMNS FROM `xt_gouwu` [ RunTime:0.001497s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckAction.class.php 第 1186 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT * FROM `xt_product` WHERE ( `id` IN ('18') )  [ RunTime:0.000207s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | NOTIC: [8] Undefined index:  wenti FckAction.class.php 第 1241 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | NOTIC: [8] Undefined index:  wenti_dan FckAction.class.php 第 1242 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: INSERT INTO `xt_fck` (`shop_id`,`shop_name`,`re_path`,`re_id`,`re_name`,`re_level`,`p_path`,`father_id`,`father_name`,`p_level`,`treeplace`,`user_id`,`bind_account`,`last_login_ip`,`verify`,`status`,`type_id`,`last_login_time`,`login_count`,`info`,`name`,`password`,`passopen`,`pwd1`,`pwd2`,`wenti`,`wenti_dan`,`bank_name`,`bank_card`,`user_name`,`nickname`,`bank_province`,`bank_city`,`bank_address`,`user_code`,`user_address`,`email`,`qq`,`user_tel`,`is_pay`,`rdt`,`u_level`,`cpzj`,`f4`,`wlf`,`wt1`,`wt2`,`da1`,`da2`) VALUES ('1','100000',',1,','1','100000',1,',1,','1','100000',1,'0','111','3333','','0',1,'0',1412519838,0,'信息','名称','96e79218965eb72c92a549dd5a330112','e3ceb5881a0a1fdaad01296d7554868d','111111','222222','','','农业银行','11122','222','111','请选择','请选择','4554','888','888','888','8888','138',0,1412519838,1,'300','1',0,'1','','1','') [ RunTime:0.000432s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | SQL: SELECT * FROM `xt_product` WHERE ( `id` IN ('0') )  [ RunTime:0.000215s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/usersAdd | NOTIC: [2] Invalid argument supplied for foreach() FckAction.class.php 第 1280 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | INFO: Run CheckRoute Behavior [ RunTime:0.001057s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.004786s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000650s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000722s ]
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T22:37:18+08:00 ] /index.php/Fck/users_ok/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.004022s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000276s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006133s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000207s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | SQL: SELECT * FROM `xt_fee` LIMIT 1   [ RunTime:0.000281s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | SQL: SELECT * FROM `xt_fck` WHERE id=297 LIMIT 1   [ RunTime:0.000518s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_template ] --START--
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000779s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000860s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017664s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017748s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Run ContentReplace Behavior [ RunTime:0.000414s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Run TokenBuild Behavior [ RunTime:0.000488s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000287s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000581s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001978s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_end ] --START--
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000548s ]
[ 2014-10-05T22:37:19+08:00 ] /index.php/Fck/users_ok/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000617s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Run CheckRoute Behavior [ RunTime:0.000971s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001071s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000649s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000723s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007668s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000279s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005989s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000215s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/cody/c_id/20 | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Run CheckRoute Behavior [ RunTime:0.000964s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001064s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000617s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000691s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.004170s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000341s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006940s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000431s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [8] Undefined index:  Urlsz FckAction.class.php 第 768 行.
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/list_jydt | INFO: Tag[ route_check ] --START--
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/list_jydt | INFO: Run CheckRoute Behavior [ RunTime:0.000959s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/list_jydt | INFO: Tag[ route_check ] --END-- [ RunTime:0.001056s ]
[ 2014-10-05T22:37:23+08:00 ] /index.php/Fck/list_jydt | INFO: Tag[ app_begin ] --START--
