[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ route_check ] --START--
[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000689s ]
[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000771s ]
[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-10T16:34:13+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | INFO: Tag[ app_begin ] --START--
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000555s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000669s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [8] Undefined variable: get CommonAction.class.php 第 159 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008433s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000338s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005631s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000590s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008833s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000868s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000328s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | SQL: UPDATE `xt_fck` SET `day_feng`=0,_times=1412870400 WHERE _times !=1412870400 [ RunTime:0.000312s ]
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-10T16:34:19+08:00 ] /ak911/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.018073s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412870400) AND (`e_date` < 1412956800)  ) LIMIT 1   [ RunTime:0.017614s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT SUM(b2) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412870400) AND (`e_date` < 1412956800)  ) LIMIT 1   [ RunTime:0.000264s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT SUM(b3) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412870400) AND (`e_date` < 1412956800)  ) LIMIT 1   [ RunTime:0.000183s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT SUM(b4) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412870400) AND (`e_date` < 1412956800)  ) LIMIT 1   [ RunTime:0.000433s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT SUM(b5) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412870400) AND (`e_date` < 1412956800)  ) LIMIT 1   [ RunTime:0.000524s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT SUM(b6) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412870400) AND (`e_date` < 1412956800)  ) LIMIT 1   [ RunTime:0.000299s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT `s2`,`i4`,`str29`,`str4`,`str5`,`str1` FROM `xt_fee` LIMIT 1   [ RunTime:0.000180s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.032569s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000235s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT `prem` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000236s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000343s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT `s11` FROM `xt_fee` LIMIT 1   [ RunTime:0.000185s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008397s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_xiaof` [ RunTime:0.029654s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | SQL: SELECT `id`,`user_id`,`agent_cf`,`re_path` FROM `xt_fck` WHERE is_pay>0 and agent_cf>=5|5|5|5|5  [ RunTime:0.000373s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 146 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_template ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001250s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001372s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_parse ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.016558s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016693s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_filter ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000860s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000792s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000512s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000839s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003359s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_end ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000749s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000860s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run CheckRoute Behavior [ RunTime:0.000780s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000883s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000608s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000685s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007870s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000428s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.007039s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000635s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: name PublicAction.class.php 第 259 行.
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_form` [ RunTime:0.059711s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) LIMIT 1   [ RunTime:0.017020s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) ORDER BY baile desc,id desc LIMIT 0,20   [ RunTime:0.012440s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.006638s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000222s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000717s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000839s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016358s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016460s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ContentReplace Behavior [ RunTime:0.000491s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run TokenBuild Behavior [ RunTime:0.000538s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000323s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000551s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002125s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --START--
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000547s ]
[ 2014-10-10T16:34:20+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000645s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | INFO: Tag[ route_check ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | INFO: Run CheckRoute Behavior [ RunTime:0.000896s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001024s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001311s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001476s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008663s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000323s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006135s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000293s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000190s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/YouZi/codys/ | SQL: SELECT `id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `passopen` = 'c4ca4238a0b923820dcc509a6f75849b' ) LIMIT 1   [ RunTime:0.000201s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ route_check ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run CheckRoute Behavior [ RunTime:0.001243s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001380s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000698s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000782s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008898s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000344s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005845s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000936s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000292s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_template ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000698s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000800s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run ParseTemplate Behavior [ RunTime:0.033926s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034017s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run ContentReplace Behavior [ RunTime:0.000519s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run TokenBuild Behavior [ RunTime:0.000619s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000421s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000831s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002616s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_end ] --START--
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000563s ]
[ 2014-10-10T16:38:18+08:00 ] /ak911/index.php/Backup/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000642s ]
[ 2014-10-10T16:40:04+08:00 ] /ak911/index.php/Backup/index/ | INFO: Tag[ route_check ] --START--
[ 2014-10-10T16:40:04+08:00 ] /ak911/index.php/Backup/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001157s ]
[ 2014-10-10T16:40:04+08:00 ] /ak911/index.php/Backup/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001304s ]
[ 2014-10-10T16:40:04+08:00 ] /ak911/index.php/Backup/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-10T16:40:04+08:00 ] /ak911/index.php/Backup/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000963s ]
