[ 2014-10-13T10:43:13+08:00 ] /ak911/ | ERR: (ThinkException) ����Ŀ�����������ܾ����޷����ӡ�
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001405s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000989s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001130s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001014s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001142s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000933s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001066s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000680s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000777s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.008685s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008816s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000854s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000882s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000532s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001145s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003774s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000784s ]
[ 2014-10-13T10:43:33+08:00 ] /ak911/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000916s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ app_begin ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000705s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000796s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [8] Undefined variable: get CommonAction.class.php 第 159 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 159 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.010433s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000432s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006615s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.024729s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.009067s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000900s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000320s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: UPDATE `xt_fck` SET `day_feng`=0,_times=1413129600 WHERE _times !=1413129600 [ RunTime:0.000385s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.022023s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413129600) AND (`e_date` < 1413216000)  ) LIMIT 1   [ RunTime:0.000421s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT SUM(b2) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413129600) AND (`e_date` < 1413216000)  ) LIMIT 1   [ RunTime:0.000246s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT SUM(b3) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413129600) AND (`e_date` < 1413216000)  ) LIMIT 1   [ RunTime:0.000188s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT SUM(b4) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413129600) AND (`e_date` < 1413216000)  ) LIMIT 1   [ RunTime:0.000216s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT SUM(b5) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413129600) AND (`e_date` < 1413216000)  ) LIMIT 1   [ RunTime:0.000165s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT SUM(b6) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413129600) AND (`e_date` < 1413216000)  ) LIMIT 1   [ RunTime:0.000177s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT `s2`,`i4`,`str29`,`str4`,`str5`,`str1` FROM `xt_fee` LIMIT 1   [ RunTime:0.000223s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.041697s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000304s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT `prem` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000260s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000456s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT `s11` FROM `xt_fee` LIMIT 1   [ RunTime:0.000243s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.009219s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_xiaof` [ RunTime:0.023976s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | SQL: SELECT `id`,`user_id`,`agent_cf`,`re_path` FROM `xt_fck` WHERE is_pay>0 and agent_cf>=5|5|5|5|5  [ RunTime:0.000322s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 146 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_template ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000784s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000858s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_parse ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.031420s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031506s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_filter ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000547s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000547s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000348s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000538s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002177s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_end ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000457s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000525s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run CheckRoute Behavior [ RunTime:0.001155s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001288s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000828s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000933s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.010955s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000398s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.009106s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000391s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: name PublicAction.class.php 第 259 行.
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_form` [ RunTime:0.064759s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) LIMIT 1   [ RunTime:0.045680s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) ORDER BY baile desc,id desc LIMIT 0,20   [ RunTime:0.000978s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.007518s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000359s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001002s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001138s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017342s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017526s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ContentReplace Behavior [ RunTime:0.000696s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run TokenBuild Behavior [ RunTime:0.000550s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000371s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000701s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002615s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --START--
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000792s ]
[ 2014-10-13T10:43:37+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000921s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --START--
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run CheckRoute Behavior [ RunTime:0.000731s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000821s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000788s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000873s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.009099s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000410s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.007682s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000368s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined index: name PublicAction.class.php 第 259 行.
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_form` [ RunTime:0.004771s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) LIMIT 1   [ RunTime:0.000303s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) ORDER BY baile desc,id desc LIMIT 0,20   [ RunTime:0.000432s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.004776s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000219s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --START--
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000576s ]
[ 2014-10-13T10:43:38+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000652s ]
