[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ route_check ] --START--
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [8] Undefined index: user_id GupiaoAction.class.php 第 1254 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007905s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `str7` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000551s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.001327s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: UPDATE xt_fck SET `b10`=b10-10 where `id`=1 [ RunTime:0.000442s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('100000','1',10,1413020662,-10,10,0,1,0) [ RunTime:0.000504s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `s6`,`s13` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000360s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: UPDATE xt_fck SET `b8`=b8+54,b25=b25+36 where `id`=1 [ RunTime:0.000328s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('100000','1',8,1413020662,54,8,0,1,0) [ RunTime:0.000371s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('100000','1',25,1413020662,36,25,0,1,0) [ RunTime:0.001238s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_inout set only_nums=only_nums-100,ispay=1 where id=24 [ RunTime:0.027303s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_fck set live_gupiao=live_gupiao+100 where id=1637 [ RunTime:0.000332s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_fee set zjyl=zjyl+100 where id=1 [ RunTime:0.000220s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `zjyl`,`cha_zjyl`,`zl`,`gpzjgl`,`zhang_one` FROM `xt_fee` LIMIT 1   [ RunTime:0.000210s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_times` [ RunTime:0.004742s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007288s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_times` WHERE ( `benqi` = 1413043199 ) AND ( `type` = 0 ) LIMIT 1   [ RunTime:0.000281s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: UPDATE xt_fck SET `b0`=b1+b2+b3+b4+b5+b6+b7+b8+b9+b10 [ RunTime:0.000262s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: UPDATE xt_fck SET b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0 where is_fenh=1 [ RunTime:0.000204s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.005571s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: DELETE FROM `xt_history` WHERE pdt<1412352000 [ RunTime:0.000250s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: DELETE FROM `xt_bonus` WHERE e_date<1412352000 [ RunTime:0.000202s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: UPDATE xt_fck SET agent_zz=agent_zz+b25 where b25<>0 [ RunTime:0.000239s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: UPDATE xt_fck SET `b0`=b1+b2+b3+b4+b5+b6+b7+b8+b9 [ RunTime:0.000204s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `id` FROM `xt_times` WHERE ( `type` = 0 ) ORDER BY id desc LIMIT 1   [ RunTime:0.000410s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_fck` WHERE ( `is_tj` = 0 ) AND ( `is_pay` > 0 ) AND ( b0<>0 or b1<>0 or b2<>0 or b3<>0 or b4<>0 or b5<>0 or b6<>0 or b7<>0 or b8<>0 or b9<>0 or b10<>0 ) ORDER BY id asc  [ RunTime:0.000659s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_fck set agent_use=agent_use+54.00,zjj=zjj+b11+b12+b13+b14+b15+b16+b17+b18+b19,is_tj=1 where id=1 and b0=54.00 and is_tj=0 [ RunTime:0.000290s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_bonus` WHERE ( `did` = '103' ) AND ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000280s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_bonus set `b0`=b0+54.00,`b1`=b1+0.00,`b2`=b2+0.00,`b3`=b3+0.00,`b4`=b4+0.00,`b5`=b5+0.00,`b6`=b6+0.00,`b7`=b7+0.00,`b8`=b8+54.00,`b9`=b9+0.00,`b10`=b10+-10.00,`b11`=b11+0.00,`b12`=b12+0.00,`b13`=b13+0.00,`b14`=b14+0.00,`b15`=b15+0.00,`b16`=b16+0.00,`b17`=b17+0.00,`b18`=b18+100.00,`b19`=b19+0.00,`b25`=b25+36.00,`b20`=b20+0.00 where `id`=2275 [ RunTime:0.000243s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: update xt_fck set b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,b10=0,b11=0,b12=0,b13=0,b14=0,b15=0,b16=0,b17=0,b18=0,b19=0,b20=0,b25=0,is_tj=0 where id=1 [ RunTime:0.000218s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SHOW COLUMNS FROM `xt_times_bonus` [ RunTime:0.003842s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT `b0`,`b1`,`b2`,`b3`,`b4`,`b5`,`b6`,`b7`,`b8`,`b9`,`b10` FROM `xt_fee` LIMIT 1   [ RunTime:0.000178s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_times` ORDER BY id desc LIMIT 1   [ RunTime:0.000200s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b0) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000202s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000172s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b2) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000167s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b3) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000167s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b4) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000163s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b5) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000182s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b6) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000356s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b7) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000269s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT SUM(b8) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '103' ) LIMIT 1   [ RunTime:0.000206s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: SELECT * FROM `xt_times_bonus` WHERE did=0 LIMIT 1   [ RunTime:0.000301s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | SQL: INSERT INTO `xt_times_bonus` (`b0`,`b1`,`b2`,`b3`,`b4`,`b5`,`b6`,`b7`,`b8`,`did`,`s_date`,`e_date`) VALUES ('677.70','0.00','16.20','0.00','0.00','0.00','13.50','0.00','648.00','103','1262275200','1413043199') [ RunTime:0.000248s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_template ] --START--
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run LocationTemplate Behavior [ RunTime:0.000726s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_template ] --END-- [ RunTime:0.000803s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_parse ] --START--
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run ParseTemplate Behavior [ RunTime:0.008381s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008476s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_filter ] --START--
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run ContentReplace Behavior [ RunTime:0.000425s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run TokenBuild Behavior [ RunTime:0.000572s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000944s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run ShowRuntime Behavior [ RunTime:0.000857s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003088s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_end ] --START--
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Run ShowPageTrace Behavior [ RunTime:0.000680s ]
[ 2014-10-11T17:44:22+08:00 ] /ak911/index.php/Gupiao/buyGP | INFO: Tag[ view_end ] --END-- [ RunTime:0.000782s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | INFO: Tag[ route_check ] --START--
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | INFO: Run CheckRoute Behavior [ RunTime:0.001008s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | INFO: Tag[ route_check ] --END-- [ RunTime:0.001113s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | INFO: Tag[ app_begin ] --START--
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000673s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000756s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007439s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1637' ) AND ( `user_id` = '111' ) LIMIT 1   [ RunTime:0.000341s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005922s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000300s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | SQL: SHOW COLUMNS FROM `xt_gp` [ RunTime:0.004955s ]
[ 2014-10-11T17:44:23+08:00 ] /ak911/index.php/Gupiao/buyGPform | SQL: SHOW COLUMNS FROM `xt_gupiao` [ RunTime:0.006386s ]
