[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ route_check ] --START--
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000677s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000701s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000550s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000722s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002858s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_end ] --START--
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000594s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000665s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001069s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001199s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000683s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000755s ]
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-16T15:14:38+08:00 ] /ak911/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ route_check ] --START--
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run CheckRoute Behavior [ RunTime:0.000844s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000939s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000895s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000994s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_template ] --START--
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000895s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000976s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009104s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009197s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000627s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000675s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000478s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000727s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002734s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_end ] --START--
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000870s ]
[ 2014-10-16T15:14:39+08:00 ] /ak911/index.php/Public/login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000973s ]
