[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) LIMIT 1   [ RunTime:0.000557s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) AND ( `title` LIKE '%%' ) ORDER BY baile desc,id desc LIMIT 0,20   [ RunTime:0.000662s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.002942s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '295' ) AND ( `s_uid` = '295' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000440s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_template ] --START--
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005837s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005999s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run ParseTemplate Behavior [ RunTime:0.055929s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.056097s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run ContentReplace Behavior [ RunTime:0.001854s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run TokenBuild Behavior [ RunTime:0.002384s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005624s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002110s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012413s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_end ] --START--
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005768s ]
[ 2014-10-05T18:51:00+08:00 ] /index.php/Public/News/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005911s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run CheckRoute Behavior [ RunTime:0.006370s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ route_check ] --END-- [ RunTime:0.006577s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001904s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002049s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.014979s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `user_id` = '666666' ) LIMIT 1   [ RunTime:0.001180s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.008928s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000509s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | SQL: SHOW COLUMNS FROM `xt_cody` [ RunTime:0.006079s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | SQL: SELECT `c_id` FROM `xt_cody` WHERE c_id=9 LIMIT 1   [ RunTime:0.000397s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_template ] --START--
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run LocationTemplate Behavior [ RunTime:0.002457s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002619s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_parse ] --START--
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run ParseTemplate Behavior [ RunTime:0.042186s ]
[ 2014-10-05T18:51:05+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042357s ]
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_filter ] --START--
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run ContentReplace Behavior [ RunTime:0.001842s ]
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run TokenBuild Behavior [ RunTime:0.001550s ]
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001083s ]
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run ShowRuntime Behavior [ RunTime:0.005576s ]
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010499s ]
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_end ] --START--
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001604s ]
[ 2014-10-05T18:51:06+08:00 ] /index.php/Fck/cody/c_id/9 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001745s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | INFO: Run CheckRoute Behavior [ RunTime:0.002846s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003039s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005790s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006271s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.011588s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `user_id` = '666666' ) LIMIT 1   [ RunTime:0.000629s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.009907s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000633s ]
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T18:51:10+08:00 ] /index.php/Fck/codys/ | SQL: SELECT `id`,`is_agent` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `passopen` = 'e3ceb5881a0a1fdaad01296d7554868d' ) LIMIT 1   [ RunTime:0.000576s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run CheckRoute Behavior [ RunTime:0.005724s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ route_check ] --END-- [ RunTime:0.005912s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001264s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001402s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.014812s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `user_id` = '666666' ) LIMIT 1   [ RunTime:0.000566s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.009286s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000610s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.007758s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined index:  cid FckAction.class.php 第 213 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SELECT COUNT(*) AS tp_count FROM `xt_bonus` WHERE ( `uid` = '295' ) LIMIT 1   [ RunTime:0.000483s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined index:  FanNowDate FckAction.class.php 第 240 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SELECT * FROM `xt_bonus` WHERE ( `uid` = '295' ) ORDER BY id desc LIMIT 0,10   [ RunTime:0.000654s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  0 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  1 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  2 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  3 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  4 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  5 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  6 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  7 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  8 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  9 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  10 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  11 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  12 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  13 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  14 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  15 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  16 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  17 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  18 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  19 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  20 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined index:  b21 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  21 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined index:  b22 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  22 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined index:  b23 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  23 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined index:  b24 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  24 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | NOTIC: [8] Undefined offset:  25 FckAction.class.php 第 253 行.
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | SQL: SELECT `s18` FROM `xt_fee` LIMIT 1   [ RunTime:0.004038s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_template ] --START--
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run LocationTemplate Behavior [ RunTime:0.001691s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_template ] --END-- [ RunTime:0.001843s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_parse ] --START--
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run ParseTemplate Behavior [ RunTime:0.071194s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_parse ] --END-- [ RunTime:0.071363s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_filter ] --START--
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run ContentReplace Behavior [ RunTime:0.000884s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run TokenBuild Behavior [ RunTime:0.005194s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000571s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run ShowRuntime Behavior [ RunTime:0.001172s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008353s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_end ] --START--
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Run ShowPageTrace Behavior [ RunTime:0.001024s ]
[ 2014-10-05T18:51:11+08:00 ] /index.php/Fck/financeTable | INFO: Tag[ view_end ] --END-- [ RunTime:0.001162s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Run CheckRoute Behavior [ RunTime:0.005669s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005884s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001368s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001520s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.011244s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `user_id` = '666666' ) LIMIT 1   [ RunTime:0.000618s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.008782s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000524s ]
[ 2014-10-05T18:51:20+08:00 ] /index.php/Fck/cody/c_id/20 | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Run CheckRoute Behavior [ RunTime:0.005765s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005961s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001251s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001425s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.011207s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `user_id` = '666666' ) LIMIT 1   [ RunTime:0.000644s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.008833s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000534s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [8] Undefined index:  user_type CommonAction.class.php 第 81 行.
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/codys/Urlsz/20 | NOTIC: [8] Undefined index:  Urlsz FckAction.class.php 第 768 行.
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | INFO: Tag[ route_check ] --START--
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | INFO: Run CheckRoute Behavior [ RunTime:0.005618s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | INFO: Tag[ route_check ] --END-- [ RunTime:0.005812s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | INFO: Tag[ app_begin ] --START--
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002113s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002321s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.011672s ]
[ 2014-10-05T18:51:21+08:00 ] /index.php/Fck/list_jydt | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '295' ) AND ( `user_id` = '666666' ) LIMIT 1   [ RunTime:0.000612s ]
