[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/codys/Urlsz/1 | INFO: Tag[ route_check ] --START--
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000630s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000710s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007356s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000362s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005667s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000256s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000222s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | NOTIC: [8] Undefined index: UserID YouZiAction.class.php 第 349 行.
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SELECT COUNT(*) AS tp_count FROM `xt_fck` WHERE ( `is_pay` = 0 ) LIMIT 1   [ RunTime:0.000269s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SELECT * FROM `xt_fck` WHERE ( `is_pay` = 0 ) ORDER BY is_pay,id,rdt desc LIMIT 0,10   [ RunTime:0.000891s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000373s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_template ] --START--
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run LocationTemplate Behavior [ RunTime:0.000904s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_template ] --END-- [ RunTime:0.000982s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run ParseTemplate Behavior [ RunTime:0.010455s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010552s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run ContentReplace Behavior [ RunTime:0.000546s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run TokenBuild Behavior [ RunTime:0.000561s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000380s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run ShowRuntime Behavior [ RunTime:0.000599s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002296s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_end ] --START--
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Run ShowPageTrace Behavior [ RunTime:0.000518s ]
[ 2014-10-23T14:06:42+08:00 ] /ak911/index.php/YouZi/auditMenber | INFO: Tag[ view_end ] --END-- [ RunTime:0.000594s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ route_check ] --START--
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.001318s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001501s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001029s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001189s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007574s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000393s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005815s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000332s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000240s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = 2 ) LIMIT 1   [ RunTime:0.000785s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | SQL: SELECT `str29`,`s10` FROM `xt_fee` LIMIT 1   [ RunTime:0.000181s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_template ] --START--
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000664s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000748s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.040445s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040542s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run ContentReplace Behavior [ RunTime:0.000502s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run TokenBuild Behavior [ RunTime:0.000573s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000276s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000489s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002073s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_end ] --START--
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000394s ]
[ 2014-10-23T14:06:47+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000468s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ route_check ] --START--
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001251s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001474s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000707s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000801s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008265s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000377s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006271s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000495s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000355s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.000951s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `str29`,`s10` FROM `xt_fee` LIMIT 1   [ RunTime:0.000294s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_template ] --START--
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.000906s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000994s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.021791s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021893s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ContentReplace Behavior [ RunTime:0.000702s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run TokenBuild Behavior [ RunTime:0.000817s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000416s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001524s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003765s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_end ] --START--
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000749s ]
[ 2014-10-23T14:18:56+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000858s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ route_check ] --START--
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001048s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001204s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000964s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001172s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.011940s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000460s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.007048s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000272s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000248s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.000871s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `str29`,`s10` FROM `xt_fee` LIMIT 1   [ RunTime:0.000239s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_template ] --START--
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.000733s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000817s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.024837s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024938s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ContentReplace Behavior [ RunTime:0.000509s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run TokenBuild Behavior [ RunTime:0.000529s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000366s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.000708s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002353s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_end ] --START--
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000423s ]
[ 2014-10-23T14:19:19+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000498s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ route_check ] --START--
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001055s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001165s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000853s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000949s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007705s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000434s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006113s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000267s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000311s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.000902s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | SQL: SELECT `str29`,`s10` FROM `xt_fee` LIMIT 1   [ RunTime:0.000205s ]
[ 2014-10-23T14:19:29+08:00 ] /ak911/index.php/YouZi/adminuserData/PT_id/3 | INFO: Tag[ view_template ] --START--
